jobtitle,jobdescription,skills,experience
"Back Office Executives - UK Shifts, US Shifts","Job Description Â Send me Jobs like this *Taking care of back office operations *Shift 1 PM to 10 PM , 5:30 PM - 2:3o PM *Sat/Sunday Fixed Off *Both side Cabs Salary:INR 1,00,000 - 2,50,000 P.A. + Quarterly Bonus Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Back Office/Web/Transaction Processing Role:Associate/Senior Associate -(NonTechnical) Keyskills Back Office Operations US Shift non voice bpo backend call center voice process operations web based process web back office Desired Candidate Profile Education- UG: B.Com - Commerce, B.Sc - Any Specialization, B.A - Any Specialization, B.B.A - Management PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required *Minimum 1 Year of Experience *Should be having good communication Company Profile: Cube Placement Services A Client Of Cube Services Download PPT Photo 1 Â View Contact Details",ITES,1 - 3 yrs
"Sr.Manager, Software Development","Job Description Â Send me Jobs like this Job Description Senior Manager, Customer Engineering, Associate Publisher Network Amazon.com and its subsidiaries are leaders in the online retail industry, enabling customers WW to purchase millions of unique items. As Amazon.com seeks to increase its presence in many countries with different customer behaviors, one of our biggest challenges is to increase the awareness of our product selection and price to customers, and to make us the premier online shopping company. The Advertising team in Amazon has the charter of marketing our products to drive traffic to Amazon.com and increase sales. We are also responsible for increasing the monetization of our Publishers by having Amazon and non- Amazon ads and product references on their sites. The Associate Publisher Network provides easy to use tools for publishers to create these visually appealing ads on their sites and contextually link- up their pages, making it incredibly easy for their customers to discover and consume products on the Amazon store and elsewhere, thereby monetizing their traffic better. The Associate Central portal is used worldwide and is a single stop dashboard for our publishers to create, visualize and enhance their ad business across device categories. Powering all these offerings are our Publisher Platform Systems which consist of technologies and platforms for Tracking, Data Analytics, Payments Computation and Disbursement and Fraud Detection and Prevention. We are looking for a seasoned technology leader to head our Customer Engineering group which is responsible for our ad products and portal. As the leader of this group, you will be responsible for: i. Understanding the business needs, our product offerings and identify common needs, patterns in problems which can be solved efficiently to launch products providing best- in- class consumer experience products to the market quickly. You will work closely with product/program management, marketing and site merchandising, and company leaders to enable product teams to successfully go from early- stage product concepts to launch. You must be responsive, flexible, and able to succeed within an open, fast- paced collaborative environment. ii. Driving the next set of features that need to be built out on our ad platform that will bring more revenue to Amazon. Your work will include doing research on existing advertising products, portals, analyzing data on traffic patterns, feature gap analysis, prioritizing features in an incremental way. iii. You will also be responsible for ensuring sanity of architecture, operational excellence and quality, delivering results on time and working with other software teams in order for the feature to launch. You will be responsible for clarifying use cases, requirements and milestones. iv. You will be responsible for mentoring and managing a highly skilled set of SDMs and SDEs, and in providing them career growth opportunities. We are looking for talented seasoned managers who enjoy defining new platforms and products, coming up with creative algorithms, helping build large scale systems, drive business initiatives and thrive in a fast paced fun environment. Having prior leadership in building platforms and consumer facing products, experience in managing fairly large sized engineering organizations is a must and experience in the online industry is a great plus. Qualifications 15 years of relevant work experience in Software Development. 7 years of software management and a proven ability to translate customer needs into business and product requirements. Proven analytical and quantitative skills ability to use hard data and metrics to back up assumptions and develop project business cases and deciding the right priority. Proven ability to architect large scale systems. High attention to detail including precise and effective customer communications. Ability to manage multiple, competing priorities simultaneously. Ability to understand and discuss technical concepts, schedule tradeoffs and opportunistic new ideas with technical employees. Should be able to think strategically and execute methodically and tactically. Superior verbal and written communications skills. Ability to work in a fast- paced environment where continuous innovation is desired. Composed, poised and professional demeanor. History of teamwork and willingness to roll up ones sleeves to get the job done. Amazon.com offers competitive salary, stock grants, health and other benefits. Salary: Not Disclosed by Recruiter Industry: Internet / Ecommerce Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills merchandising tools analytical portal payments software development iv tracking dashboard Desired Candidate Profile Education- UG: B.Tech/B.E. PG:M.Tech Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Basic Qualifications",IT Software - Application Programming,15 - 18 yrs
Head - Finance,"Job Description Â Send me Jobs like this Overall Financial Accounting, General Ledger, Accounts payable, receivables and inventory management/reconciliation. Finalization and internal audit of financial statements. Consolidat ion of accounts of subsidiaries/sister concerns. Tax Compliance: TDS, Service Tax, preparation and filing of returns; annual assessment. Overseeing banking operations: Letter of Credit, Bank Guarantees, stock statements, Bank reconciliation, etc. Supervision and consolidation of bills raised and payments received from the clients. Overall review of day-to-day financial transactions and business operations. The candidate should possess good communication skills. Vendor & Contractor Management: Scrutinizing & releasing the Purchase Orders/Contracts; periodic progress review; billing & payments Salary: Not Disclosed by Recruiter Industry: Banking / Financial Services / Broking Functional Area: Accounts , Finance , Tax , Company Secretary , Audit Role Category:Accounts Role:Accounts Manager Keyskills Head - Finance Desired Candidate Profile Education- UG: Any Graduate PG:CA Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Insignia Create accurate best clinical practice through evidence based medical programs using current clinical practices and disseminate knowledge through our unique programs via online, live and print medium for extended reach. Download PPT Photo 1 Â View Contact Details",Accounts,2 - 7 yrs
Technical Support- Dell Process-voice,"Job Description Â Send me Jobs like this Minimum 18 months of exp into dell process or who worked with dell company before Voice process Any Graduate or UG can apply Telephonic/SKYPE Available Outstation Candidates can also apply Role : Technical support Loc : Gurgaon Neha 9213701010 Salary:INR cabs and meals Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(Technical) Keyskills Technical Support tech support dell laptop desktop international voice process international bpo wipro hp hcl sutherland sitel iyogi installation configuration troubleshooting Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Excellent comm skills Need to have international voice experience Technical process Any Graduate or UG can apply Mail your cv to - nehajobsexpert89@gmail.com Company Profile: Jobs Expert Leading BPO A small, hard-working consulting firm based out of Delhi. Established in 2005, we hit the ground running with our direct approach to finding success. Large scale solutions, End to End Recruitment and RPO, we offer our clients the full package. Download PPT Photo 1 Â View Contact Details",ITES,2 - 7 yrs
SEO CONSULTANT,"Job Description Â Send me Jobs like this job description and requirement:- SEO CONSULTANT Good knowledge of internet 2. knowledge about search engine 3. good communication skills. Analyzing website strategies and translating qualitative or anecdotal data into recommendations and tactics for revising the strategies. Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - eCommerce , Internet Technologies Role Category:Other Role:Outside Consultant Keyskills seo website good communication skills knowledge of internet qualitative consultant analyzing search engine strategies data Desired Candidate Profile Education- UG: Diploma PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Infoicon Technologies Infoicon Technologies is a leading software development and designing company provides innovative Mobile app development, Offshore Software Download PPT Photo 1 Â View Contact Details",IT Software - eCommerce,0 - 3 yrs
Urgent Opening for Cloud Architect with US Based MNC,"Job Description Â Send me Jobs like this We have urgent multiple openings for Cloud Enterprise/solution Architect with one of our client. About Client: US Based MNC Exp: 10-15 years Location: Bangalore, Gurgaon,Chennai Role: Enterprise Architects/Solution Architect. Description Enterprise Architects specializing in Cloud especially in PaaS and SaaS Worked on End-to-End Cloud Solutions Experience in Deep understanding of technology, applications, industry best practices, business processes and architectural patternsSpeaking the value language of business and technology to Clevel executives Application modernization, Cloud Adoption and Rationalization Must have these experience Exposure to Cloud Platforms (e.g SAP/Oracle Cloud Landscape, Cloud Foundry/OpenSHift in PaaS, Google/MSFT/AWS etc) and/or Leading SaaS (SFDC, Workday etc.) Solutions in the market understanding their roadmaps and high level SWOT analysis Ability to design cloud-first business process optimization roadmap leveraging technology enablers (SaaS, PaaS and Cloud Integration) Assess the clients environments and prepare the roadmap on the migration to cloud solutions. Act as a technical liaison between clients, account teams and implementation teams. Understand Agile & DevOps, Cloud Security & Cloud Integration 3-5 years of experience in Enterprise and/or Technology Architecture - deep understanding of any EA framework (TOGAF, Zachman, etc) and Technology components like Integration (SOA, Middleware, API), Security, DevOps etc 2-4 years of experience in IT Operating Model domains with some exposure to Governance, KPIs, Org Structure, KPIs etc. in context of Cloud Adoption Any PaaS or SaaS Certification. Should this interest you kindly go through the Job Description mentioned. If it befits your profile, send across your updated CV at the earliest. CTC Exp CTC Regards, Krishna Jyothi, IndiHire HR Consultants Reach Me: +91 9686193269 Email: krishna.jyothi@indihire.com Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:System Design/Implementation/ERP/CRM Role:Solution Architect / Enterprise Architect Keyskills Zachman TOGAF cloud architect enterprise architect solution architect Desired Candidate Profile Please refer to the Job description above Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate Company Profile: IndiHire A fortune 500 and a service based company It is a US Based MNC Company Download PPT Photo 1 Â View Contact Details",IT Software - Application Programming,11 - 21 yrs
Subject Matter Expert,"Job Description Â Send me Jobs like this Position holder shall be responsible for : Account payable process Providing guidelines to production Audit team as a first point of contact for all process related issues update both Production Audit team with latest SOP and special handling instruction as per business requirement. Work as backup to TL and assist him in preparing weekly, monthly MIS reports etc. Job Description: Account Payable - To make sure that the production, quality and TAT is achieved by the production and audit team working on daily weekly report Training the new joiners/ refresher training as and when required Communicating with Business area directly attend conference calls Provide data to management on MIS report within TAT Error Analysis update to team Summary of Production report Updating team with new procedure / As per Sop Maintain QC Report of the team Ensure team huddle is conducted at regular interval. Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Operations Role:Business/EDP Analyst Keyskills MIS Reporting Subject Matter Expertise Account Payable Error Analysis Desired Candidate Profile Desirable Skills / Knowledge: Good typing and Analytical Skills, Excellent Communication and interpersonal skills Computer literate Ability to work in a high pressure environment Should have eye for detail Experience in Oracle11i application; (6 months to 1 year) Experience in handling Accounts Payable (6 months to 1 year ) Should be ready to work at any shift (A,B or C).Experience: 2-3 YrsQualification: BCom / MBA. Education- UG: B.Com - Commerce PG:MBA/PGDM - Any Specialization Doctorate:Doctorate Not Required Company Profile: First American (India) Pvt Ltd First American (India) Pvt Ltd Download PPT Photo 1 Â View Contact Details",ITES,2 - 3 yrs
Dsit-t&s - Business Analyst - SAP ISU Expert,"Job Description Â Send me Jobs like this Job Purpose: The primary responsibility of the Business Analyst (BA) is to serve as the application & functional expert on the business processes, systems and data in the (Trading and Supply Crude & Products, Functions or Gas & Power) portfolio in SAP ISU system. The BA will perform business analysis and execute change activities, this will include both project work and sustain and improvement enhancements. The BA will work alongside Project Managers, developers, and other BAs to provide IT solutions and support to meet their business needs. Key accountabilities: * Conducting elicitation sessions with identified stakeholders, dealing with people from different regions / countries with different cultures, languages, and time zones. * Engaging business stakeholders to understand and analyze business issues, goals and requirements. * Deep expertise on the application functionality, design and implementation * Understand and be able to consult on the Business processes supported by the application * IT Business analysis work on project, discretionary, operational items. This would * include Business Analysis, Business Requirements Definition, Business Solution Design, Functional Specification & Acceptance Criteria, and Acceptance Test Plan and Management solutions for delivery of change projects and minor enhancements * Defining, prioritizing, and documenting business requirements in line with IT solutions, IT direction, and target portfolio & architecture. * Working with IT partners and third party suppliers to ensure that solutions meet business needs, including testing, defect management, and user education. * Acting as the business change enabler for effective use of information and IT. * Applying available standards, methods and tools in an intelligent and effective way, and contributing to Shell BA best practices. * Producing a consistently high standard of documentation, both in a technical and a descriptive nature. * Assisting in the preparation of investment proposals in close cooperation with the business and IT stakeholders. * Understanding the importance and value of Information and Data and ensuring that solutions enforce data quality, enable efficient and effective data management, and provide quality information to the users. * Working with the business to analyze, design, develop, implement, and measure business processes and data flows, often applying process/data analysis and improvement techniques. * Generating innovative approaches to existing problems or new opportunities in order to enhance results or maximise potential through researching potential solutions and innovative ideas. * Designs and manages tests of new/updated processes. Specifies test environment for whole lifecycle testing (e.g. using a model office concept). * Manages the selection/creation of relevant scenarios for testing and ensures that tests reflect realistic operational business conditions. * Follow and implement the Shell Information Risk Management policies and procedures Salary: Not Disclosed by Recruiter Industry: Oil and Gas / Energy / Power / Infrastructure Functional Area: IT Software - Application Programming , Maintenance Role Category:System Design/Implementation/ERP/CRM Role:Business Analyst Keyskills risk management development dealing documentation data analysis ba data management business analysis travel billing Desired Candidate Profile Education- UG: B.Tech/B.E. - Computers PG:M.Tech - Computers Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Competencies & Qualifications:* A professional SAP certification is a plus* Ability to work in a fast-paced, demanding, rapidly changing environment* Strong engagement skills, working with senior leaders on regular basis * Need for strong team-working skills in a virtual environment; willingness to travel periodically * Ability to effectively engage a virtual team of leaders located in different geographies* Ability to respond to organizational and environmental changes that impact projects.* Awareness of software testing principles.* Must have strong analytical aptitude and be able to analyse complex problems / requirements and be able to define functionally advanced IT solutions* Must have a process oriented aptitude* Ability to self-start and direct efforts based on high-level business objectives yet seek guidance as necessary. * Ability to act as a focal point for a specialized area (technical or business); able to lead teams while managing multiple competing priorities.Job Experience Requirements* Experience in business analyses, business IT change management, IT project management, preferably within Shell context* Expertise and work experience working with SAP ISU ( IS utilities) system* Expertise in ISU billing and invoicing configuration * Experience working with electronic exchange models for e-invoicing/e-banking and regulatory reporting* Knowledge in SAP Modules FI-CO/FI-CA, SD and MM * Familiar with a range of analysis, modelling, and design methods; has broad current knowledge of IT standards, applications, and trends* Ability to take a systematic and analytical approach to problem solving and pay close attention to detail.* Experienced in communicating and partnering with stakeholders across cultures and at all organizations, singly and in groups* Has a comprehensive understanding of business process improvement, benefit and risk management, and software testing and of all testing events throughout the development lifecycle. * Takes a systematic and analytical approach to problem solving and pays close attention to detail* Broad knowledge of IT, knowledge of the technology landscape including current developments and the most commonly available products. * Comprehensive understanding of business process improvement, benefit and risk management. Company Profile: Shell Pvt Ltd Shell Pvt Ltd Download PPT Photo 1 Â View Contact Details",IT Software - Application Programming,5 - 8 yrs
Manager/senior Manager - IT Recruitment,"Job Description Â Send me Jobs like this - In charge of hiring for Lateral, Campus and supported Onsite hiring. - Interacting with the Hiring Managers to understand the requirement and source best professionals in stipulated SLA for various requirements. - Reviewing strategies with the BU /Technical managers on regular basis in terms of hiring and business projections. - Identify talent pool and market availability and build a strong mechanism to support business requirements - Establish scalable network and strong selection process ensuring the right talent is getting in to the organization - Devise an appropriate channel mix to ensure a market competitive cost per hire - Identify & monitor measures across processes. Develops measures / shapes new processes to improve performance. - Design metrics to measure and improve recruitment efficiency. - Guide the team around key priorities and goals. - Create a clear offer management process, including reference checks, salary recommendations, offer letter generation, and offer acceptance/turn downs. - End to end operations of HR recruitment Candidate requirement: - Should have minimum 10 years of experience in handling IT recruitments (Mass hiring/ lateral hiring/ leadership hiring) - Should have exposure in handling recruitments at all levels. - Should have excellent communication skills. - Should be energetic & out of the box thinker. - Should be a post graduate from a reputed university Salary: Not Disclosed by Recruiter Industry: Recruitment / Staffing Functional Area: HR , Recruitment , Administration , IR Role Category:HR/ Recruitment / IR Role:Recruitment Manager Keyskills IT Recruitment HR Leadership Hiring Selection Process Senior Management Senior Manager Recruitment Manager Talent Acquisition Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization, MBA/PGDM - Any Specialization Doctorate:Doctorate Not Required Â Company Profile: Saaki, Argus & Averil Consulting Client of Saaki, Argus & Averil Consulting Download PPT Photo 1 Â View Contact Details",HR,10 - 15 yrs
UI/UX .,"Job Description Â Send me Jobs like this You would have : p> Bachelor\ 's Degree in Computer Science or equivalent experience. p> 2-5 years experience creating and maintaining applications. p> CSS & JavaScript expertise. Can read and write CSS, HTML, and JavaScript by hand. Should be immersed enough in these technologies to have philosophies about the organizing and structuring of client-side code. p> Strong expertise in Angular JS with at least one common JS framework such as YUI, Prototype, or JQuery (preferred). p> Competent with interface design (not necessarily visual design, but tool design). Candidate can put together a compelling prototype without having a design handed off, or can follow existing design patterns to expand on an existing UI. p> A solid understanding of web application architecture, object oriented software, and design patterns. We are not looking for a scripter who can follow examples, but someone who fundamentally understands software development. p> Strong communication skills and willingness to collaborate with end users and iterate software designs based on feedback. p> Plusses: p> Experience with a JavaScript MVC Framework, such as Backbone. p> Experience with content management systems or blogging platforms. p> Experience programming web applications in any object oriented language (Java / Scala preferred) p> Understanding of Web Services: REST & Soap and related frameworks. p> Comfortable working in a Linux environment from the command line. p> Familiarity with AGILE software design concepts. p> Soft Skills : p> Be passionate about building great software. p> Have experience engaging in rapid prototyping and iterative product development. p> Be nimble and flexible enough to thrive in a rapidly evolving business environment. p> Be an independent thinker and not a technologist who just executes on specs. p> Have big thoughts and the courage to voice them. p> Have enthusiasm for emerging technologies. p> Grasp the big picture, and be curious about and engaged in the broader world. p> Team player skills. p> At Knoldus respect comes with knowledge and not with years of experience. p> p> Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - eCommerce , Internet Technologies Role Category:Programming & Design Role:Graphic/Web Designer Keyskills java javascript linux html jquery software development design patterns product development agile software design Desired Candidate Profile Education- UG: B.Tech/B.E. PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Knoldus Software LLP We are successful when you as the CTO are successful By working with many CTOs, CIOs, and Development Managers, we have identified their concerns when faced with outsourcing a project. We call them our ""Four C\'s"". We gear our business model around them for the benefit of our clients.We consider ourselves well suited for CTO challenges. Download PPT Photo 1 Â View Contact Details",IT Software - eCommerce,2 - 5 yrs
Manager - Digital Sales - Startup,"Job Description Â Send me Jobs like this He / she will be will be required to plan revenue generation involving new business development from brands, advertising and Media Agencies and managing existing portfolio of clients handed over for the north region. He/ She will report to the Business Head and will be responsible for overall revenue across the region, and will also provide strategic insight on Pricing, Marketing, Creative Ideas, and Product Development through our Digital (email + mobile) platforms. KRA will also involve building strong relationships with clients to promote mobile, Email,Performance Marketing solutions and new portfolio of products introduced by the company Identification and segregation of potential Market Segments. The candidate should be well connected in the media/online/digital industry & must have good rapport with the Marketing / Brand Managers in various companies and should have experience in business development from corporate/media/online/digital segment. Hiring across levels-Assistant manager, Manager and regional managers If your profile matches and willing to switch for new career please shares your updated CV along with below information: Full Name: Age/DOB Highest Education Highest Education (Regular) Team Size Managed Contact No Email Id Current Industry Current Company Current Designation Current Package Current City Are you ready to relocate Bangalore, if selected- Total relevant experience in Media Sales: Can your join within 15 days..- ..if NO, minimum notice period required Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: Sales , Retail , Business Development Role Category:Corporate Sales Role:Sales/Business Development Manager Keyskills New Business Development Media Sales Marketing Digital Sales Advertising Revenue Generation Region Strategy Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Doctorate Not Required Â Company Profile: 3D India Staffing Research & Consulting Pvt Ltd Client of 3D India Staffing Research & Consulting Pvt Ltd Download PPT Photo 1 Â View Contact Details",Sales,5 - 10 yrs
